Question_number,Internal.ID,answer,answer_n,Question
D5,35,machine learning,Other,
D5,58,Manager,Other,
D5,59,Support and archiving of data and code,Other,
D5,73,gestion,Other,
D5,105,"Dissemination, Training, Knowledge transfer",Other,
D5,112,services conseils,Other,
D5,137,coordination,Other,
D5,165,Aucun,Other,
D5,205,Oversight/Director,Other,
D5,207,Management,Other,
D5,242,None,Other,
D5,275,Gestion,Other,
D5,291,Formation des etudiants,Other,
D5,297,commercialization,Other,
D5,323,direction,Other,
D5,327,Project management,Other,
D5,329,Physical and mathematical  theory that is implemented in the software tool.,Other,
D5,406,Requirements,Other,
D5,435,User Experience,Other,
D5,445,I cover the full-stackdevelopment cycle and pretty much everything else.,Other,
D6,21,Internal software development team,Other,
D6,29,Contractors,Other,
D6,76,Collaborators,Other,
D6,127,Student Interns,Other,
D6,165,Aucun,Other,
D6,206,ITS,Other,
D6,239,Software vendors,Other,
D6,242,None,Other,
D6,275,etudiant collegial,Other,
D6,291,Je ne comprends pas l'acronyme ETP dans la question suivante...,Other,
D6,337,Consultant,Other,
D6,445,volunteers,Other,
D18,3,We have published the research articles.,,
D18,20,"km: https://www.life-science-alliance.org/content/2/4/e201900336
et au moins 3 autres projets en cours de publications.",,
D18,21,"Our website, www.myLaminin.net, has quite a bit of information and several blog articles that describe what our software does. ",,
D18,22,Unsure.,,
D18,31,"https://dl.acm.org/doi/10.1145/3332186.3332210
",,
D18,37,"https://arxiv.org/abs/2109.03120, https://cdnsciencepub.com/doi/full/10.1139/cjp-2019-0611, https://arxiv.org/abs/2111.14530",,
D18,67,"https://doi.org/10.1038/s41587-019-0360-3
https://doi.org/10.1186/1755-8794-6-S2-S3
https://doi.org/10.1371/journal.pcbi.1001114
https://doi.org/10.1186/1471-2105-10-S1-S60
https://doi.org/10.1186/gb-2005-6-12-r106
https://doi.org/10.1186/1471-2105-6-34
https://doi.org/10.1186/1471-2105-5-40
https://doi.org/10.1093/bioinformatics/btg139
https://doi.org/10.1093/bioinformatics/18.8.1034

",,
D18,81,"There too many, list here - https://directory.library.ubc.ca/people/view/622",,
D18,84,"10.1162/qss_a_00228
",,
D18,91,It is currently under 2nd review in Environmental Modelling and Software and should be published in the next few months.,,
D18,105,"https://doi.org/10.1016/j.mri.2012.05.001
https://doi.org/10.1109/TBME.2014.2322864
https://doi.org/10.1002/rcs.274
https://doi.org/10.1118/1.4754659
https://doi.org/10.1109/TBME.2012.2219307",,
D18,107,you are kidding - there are ~40-50 papers we've published that describe software tools.,,
D18,110,"https://link.springer.com/content/pdf/10.1007/s41781-020-0036-1.pdf
http://heprc.phys.uvic.ca/#publications
",,
D18,111,10.3138/cart-2021-0006 ,,
D18,112,je ne sais pas,,
D18,121,"https://doi.org/10.1063/1.5144261
https://doi.org/10.1016/j.cpc.2019.107042",,
D18,126,10.1093/gigascience/giz037,,
D18,138,"Jensen, Graham, Alyssa Arbuckle, Caroline Winter, Talya Jesperson, Tyler Fontenot, and Ray Siemens, with the ETCL and INKE Research Groups. 2023. “Fostering Digital Communities of Care: Safety, Security, and Trust in the Canadian Humanities and Social Sciences Commons.” IDEAH 3 (2): n.p. https://ideah.pubpub.org/pub/h7927ugt
Jesperson, Talya, Graham Jensen, Caroline Winter, Alyssa Arbuckle, and Ray Siemens, with the INKE Research Group. 2022. “Open, Collaborative Commons: Web3, Blockchain, and Next Steps for the Canadian Humanities and Social Sciences Commons.” Pop! Public. Open. Participatory. 4. 10.54590/pop.2022.003
Winter, Caroline, Tyler Fontenot, Luis Meneses, Alyssa Arbuckle, Ray Siemens, and the ETCL and INKE Research Groups. “Foundations for the Canadian Humanities and Social Sciences Commons: Exploring the Possibilities of Digital Research Communities.” Pop! Public. Open. Participatory 2: n.p. DOI: 10.48404/pop.2020.05",,
D18,143,Sauf celui en cours de developpement.,,
D18,152,"Rockwell, G. and S. Sinclair. (2016) Hermeneutica: Computer-Assisted Interpretation in the Humanities. Cambridge, MA: MIT Press. ",,
D18,161,10.1016/j.mri.2012.05.001,,
D18,162,https://joss.theoj.org/papers/10.21105/joss.02444,,
D18,174,Software and computing in big science,,
D18,181,"10.1021/acs.jctc.6b00410 and ""to be published""",,
D18,186,10.1093/mnras/stad1254 ,,
D18,189,Gasoline2:     10.1093/mnras/stx1643,,
D18,191,doi:10.1093/mnras/stx1671,,
D18,192,an example: https://doi.org/10.1093/bioadv/vbac069,,
D18,195,"ATOCA: 10.1088/1538-3873/ac8a77
STARSHIPS: 10.1093/mnras/stad1247",,
D18,203,Publications are forthcoming within the next 1-2 years.,,
D18,205,My group's priority is scientific output.  That's what will earn my graduate students favourable postdoc positions.  That's where I choose to invest my limited resources.,,
D18,231,"10.1186/s12859-015-0581-5
10.1093/bioinformatics/btad136",,
D18,235,"https://doi.org/10.1111/imr.12666
https://doi.org/10.3389/fdata.2020.00022",,
D18,249,"http://dx.doi.org/10.1139/v07-069
https://doi.org/10.1016/j.ssnmr.2019.07.004
http://dx.doi.org/10.1016/j.ssnmr.2012.05.002",,
D18,273,https://academic.oup.com/gigascience/article/8/6/giz037/5513895,,
D18,274,"Not current, but the software is described in dozens of publications along with applications. One general example:  DOI 10.1007/978-1-4419-0699-1",,
D18,290,"10.1093/bioinformatics/btv693
10.1093/nar/gkx911.
10.1093/nar/gkab1084
10.1093/bioinformatics/btt383
10.1093/bioinformatics/btr511.
10.1093/nar/gkaa390
10.1093/nar/gkaa421
10.1158/0008-5472.CAN-19-0349",,
D18,291,"https://www.atala.org/sites/default/files/MyAnnotator_June_2017NS.pdf
https://doi.org/10.4000/alsic.5550

",,
D18,297,"Too many to list. Check ""demeler, b"" on PubMed",,
D18,300,"PyJAMAS - doi: 10.1093/bioinformatics/btab589
SIeStA - doi: 10.1088/1478-3975/8/4/045005",,
D18,310,"https://www.nature.com/collections/djiciihhjh
https://www.nature.com/articles/s41592-021-01315-z
https://www.nature.com/articles/s41592-021-01290-5
https://www.nature.com/articles/s41592-021-01166-8
https://arxiv.org/abs/2302.07005",,
D18,324,"https://doi.org/10.1093/jhered/92.4.371
https://doi.org/10.1093/molbev/msy073
https://doi.org/10.1093/jhered/esx033
https://doi.org/10.1093/bioinformatics/17.6.569
https://doi.org/10.3390/v13091790
https://doi.org/10.1111/geb.12914
https://doi.org/10.1534%2Fg3.117.300271",,
D18,327,10.1016/j.scico.2021.102665,,
D18,330,"https://www.nemo-ocean.eu/  is  a webpage, not a doi, but it is the underlying home of the model we use. Documentation is more variable on tools.",,
D18,336,"""A Plea for the Preservation of Early BASIC Game Programs."" Canadian Journal of Media Studies/Revue Canadienne d'etudes des medias,18(1) 2022, pp. 90-113",,
D18,338,"We have dozens of such publications. Some recent examples are:
https://academic.oup.com/bioinformatics/advance-article/doi/10.1093/bioinformatics/btad031/6988031

https://www.nature.com/articles/s41592-022-01616-x

https://www.sciencedirect.com/science/article/pii/S0022283622001838

https://elifesciences.org/articles/68292

https://joss.theoj.org/papers/10.21105/joss.03756#

https://aclanthology.org/2021.acl-long.72/",,
D18,341,"The Motus Wildlife Tracking System: a collaborative research network to enhance the understanding of wildlife movement  https://doi.org/10.5751/ACE-00953-120108

One is currently under development for NatureCounts",,
D18,363,"Motus: https://doi.org/10.5751/ACE-00953-120108 

A NatureCounts publication has been drafted and will be submitted in the coming year. ",,
D18,364,"doi:10.3389/fspas.2018.00014
http://ascl.net/1805.014",,
D18,379,Scientific Computing World,,
D18,381,too many to list,,
D18,404,10.26508,,
D18,406,10.3389/fmars.2022.806452,,
D18,417,"https://doi.org/10.1111/1755-0998.13613
https://doi.org/10.1038/s41437-023-00595-9",,
D18,424,See site,,
D18,425,http://digitalhumanities.org/dhq/vol/17/1/000668/000668.html,,
D18,433,https://doi.org/10.1007/s41781-020-0036-1,,
D18,445,multiple publications,,
D18,469,It is outdated,,
D18,475,"There will be, still working on it.",,
D18,482,10.3389/fmars.2022.806452,,
D18,483,https://joss.theoj.org/papers/10.21105/joss.05415,,
D18,485, https://doi-org.acces.bibl.ulaval.ca/10.1111/ele.13994,,
D18,500,https://doi.org/10.1111/imr.12666,,
D18,501,doi: 10.2196/32613,,
D18,508,Cited in our Github page per repository,,
D18,517,see https://www.marieodilejunker.ca/publications-by-topic/,,
D18,518,10.1016/j.neuroimage.2022.119261 ,,
D18,524,doi: 10.3233/SHTI210182.,,
D18,529,https://iopscience.iop.org/article/10.1088/1538-3873/acc973/meta,,
D18,535,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3696923/,,
D18,539,"There are several packages that have been published as papers, as clearly documented on the web site. I'll give two examples: ",,
D18,541,"Some example publications from colleagues in the community that discuss the use of Islandora:
Strategies for Preserving Digital Scholarship / Humanities Projects
https://journal.code4lib.org/articles/16370
Simplifying ARK ID management for persistent access to digital objects
https://journal.code4lib.org/articles/16774
Visualizing Fedora-managed TEI and MEI documents within Islandora
https://journal.code4lib.org/articles/14532
Islandoracon 2022 - presentations from the last conference
https://2022.islandora.ca/schedule/
Islandora Foundation Youtube Channel
https://www.youtube.com/@islandorafoundation9224/videos
",,
D19,21,"Yes...we designed our solution with these principles in mind. To that end, research and supporting research data is easily 'findable, accessible, interoperable, reusable' using our platform...but also under the control of the Principal Investigator (PI). The PI is able to manage access to research data or subsets of it as well as seamlessly manage any required agreements (such as data-sharing/publication agreements) using eSignature capabilities.",,
D19,29,Also this group: https://fair-software.nl/,,
D19,112,la plupart des chercheurs ne cconnaissent pas bien les principes FAIR. Il y a beaucoup de sensibilisation a faire,,
D19,113,Ça va prendre des formations de ça.,,
D19,203,"While I personally have some basic familiarity with the principles, the project PIs may not be and there have been no discussions of these principles within our development team.",,
D19,204,a little,,
D19,205,I was not aware of FAIR4RS but there basic assertion is common sense.,,
D19,235,The iReceptor Gateway was built on and adheres to FAIR principles,,
D19,310,TOTALLY!,,
D19,324,I don't know FIAR4US and therefore cannot answer the following question.,,
D19,330,"When a large CFD model produces 10's of TB of output, it is difficult to properly share as most repositories can't deal with that size of output. But we can't just point to the data on Alliance systems...",,
D19,338,"I am aware of FAIR, but not FAIR4RS",,
D19,341,"We apply FAIR principles to our data, primarily, but we also attempt to release open-source software whenever possible.",,
D19,363,"Yes, we have incorporated the FAIR Principles into our strategic plans for NatureCounts and Motus. ",,
D19,406,We intend to work towards following guidance along these lines for software used to produce or manipulate data.,,
D19,424,we use Creative Commons,,
D19,469,Very limited,,
D19,495,The software also tries to follow CARE and OCAP principles,,
D19,501,"Hope to share that way after we complete development, test the platform, and then know what we can contribute. ",,
D19,503,I am not involves in software development. ,,
D19,508,Aware of FAIR principles but not specific to research software,,
D19,523,"Nous connaissons les principes FAIR mais pas specifiquement FAIR4RS, leur application aux logiciels de recherche.",,
D19,539,"10.1002/jcc.26468
https://doi.org/10.1016/j.cpc.2022.108334",,
D21,11,">1,000 active users (from across the globe) - used in 150 projects involving over  600,000 assessments to date in limited access release. ",,
D21,20,https://pypistats.org/ pour epcy et km-walk,,
D21,21,"We will be able to do so shortly. As we approach commercialization at scale, we are fully prepared to do that.",,
D21,22,"Yes, via the number of research projects adding content to the repository platform, the number of people access the content and the size of the content.",,
D21,29,When hosted on code repositories only.,,
D21,42,many hundreds of users used genap.ca over the years,,
D21,67,"No, but I would today.",,
D21,84,"Downloads, installations",,
D21,91,Users need accounts for access to the PAVICS-Hydro platform. Users using the ravenpy python package are not traceable though.,,
D21,110,Download goes through repositories which do not track users. ,,
D21,111,"Pour l'instant, l'impact est mesurable par le nombre de projets pour lesquels il est utilise, mais nous sommes en train de mettre en place un processus d'evaluation plus systematique. ",,
D21,121,"- Articles qui citent les articles principaux d'ABINIT, ceux mentionnes plus haut.
- nombres de participant du forum.",,
D21,152,We use Google Analytics to track number of users and where they come from. We do not track those that use mirror sites run by others or those who download Voyant to run on their own.,,
D21,161,We track primarily by number of downloads,,
D21,177,"Number of users, number of container pulls",,
D21,203,"For our most successful public package, we get some feedback in the form of Github visit/download numbers, and by seeing who contributes bug reports (if it's people we don't know, we know the software is spreading broadly through the community).",,
D21,207,not yet,,
D21,235,"We track number of users, number/size of downloads, and institutional/geographic information on users.",,
D21,249,"citations, and previously we counted downloads",,
D21,291,pas encore,,
D21,297,"installations worldwide. Registrations, publications, and support contracts",,
D21,324,Number of citations in scientific papers.,,
D21,327,"We track number of user sessions and commands executed (although it can also be used privately, and unique users are not tracked). Additional tracking includes Github forks and stars.",,
D21,336,Google Analytics,,
D21,337,"Yes, but it's very incomplete (mostly GitHUb metrics)",,
D21,341,"Both Motus and NatureCounts platform users are using logins, and we track various usage metrics.",,
D21,363,"Yes, our Key Performance indicators and Milestones are outlined in the Motus strategic plan: https://motus.org/strategy/

A draft strategic plan for NatureCounts is in review and KPIs include:
Number of users submitting data through NatureCounts
Number of validated data records stored in NatureCounts 
Number of contributing programs and/or partnerships supported
Number of R package users (advanced users)
Number of scientific publications supported by Birds Canada data and expertise
Number of external data requests received for research and conservation
Number of records shared
Number of unique visitors to NatureCounts website
Number of target users reached with online and in-person NatureCounts tutorials




",,
D21,364,Citations in publications/conference talks,,
D21,376,We aren't at this stage yet and are working on ways to measure impact.,,
D21,381,The numbers of downloads reported by package repositories seem unreasonably large,,
D21,404,"Nombre d'utilisateurs dans le cas de portail
Nombre de tele-chargements dans le cas de repertoire de codes",,
D21,406,We use metrics of number of downloads versus number of datasets published to give a measure of the utility of what we are providing.,,
D21,425,"Downloads, forks, requests for help, etc.",,
D21,433,We can measure the number of jobs processed using Cloudscheduler.,,
D21,445,This is particularly easy when we release open access software powered by web applications where I manage the server. Anything else is a hassle.,,
D21,469,Too early,,
D21,472,WPStatistics,,
D21,474,"I haven't bothered, other than through interactions with people who contact me",,
D21,500,"Normal web stats, authenticated logins, number of users, number of user accounts, downloads, etc.",,
D21,508,However we can count the number of references to our publications related to software,,
D21,518,8 users around the world have requested access to the software,,
D21,523,"Nombre d’utilisateurs annuels du portail national d’articles scientifiques
Nombre d’articles produits chaque annee
",,
D21,535,~10000 registered user accounts,,
D21,539,"Not really. We're free and open source, so we only hear about things anecdotally. ",,
G3,3,Version control. Proper documentation.,,Software curation/preservation (making sure the software has been packaged for long-term use/access)
G3,11,low,,Software curation/preservation (making sure the software has been packaged for long-term use/access)
G3,21,Advanced in the sense that we are maintaining our software for commercial delivery in a SaaS paradigm.,,Software curation/preservation (making sure the software has been packaged for long-term use/access)
G3,59,"um, pretty high? I have a computer science degree and have been the person packaging and archiving",,Software curation/preservation (making sure the software has been packaged for long-term use/access)
G3,91,"Medium, delegated to others on team",,Software curation/preservation (making sure the software has been packaged for long-term use/access)
G3,111,"La base, mais je comprends l'importance",,Software curation/preservation (making sure the software has been packaged for long-term use/access)
G3,113,assurance que le logiciel est conçu pour une utilisation a long terme,,Software curation/preservation (making sure the software has been packaged for long-term use/access)
G3,126,"Versioning, code reviewing, documentation, availability in recommended repositories",,Software curation/preservation (making sure the software has been packaged for long-term use/access)
G3,139,Documentation technique!,,Software curation/preservation (making sure the software has been packaged for long-term use/access)
G3,143,rien,,Software curation/preservation (making sure the software has been packaged for long-term use/access)
G3,152,Putting source on github. Supporting mirrors at other institutions,,Software curation/preservation (making sure the software has been packaged for long-term use/access)
G3,161,"Our projects are used by thousands of people to develop cutting edge medical research, we have to keep old versions accessible as some people have to lock in a version due to a specific regulation",,Software curation/preservation (making sure the software has been packaged for long-term use/access)
G3,165,Rien,,Software curation/preservation (making sure the software has been packaged for long-term use/access)
G3,189,moderate,,Software curation/preservation (making sure the software has been packaged for long-term use/access)
G3,203,Limited knowledge (of version control),,Software curation/preservation (making sure the software has been packaged for long-term use/access)
G3,206,none,,Software curation/preservation (making sure the software has been packaged for long-term use/access)
G3,231,I'm not sure I understand the question. I have a pretty good knowledge. My software has dependancies so I am aware it might not be avaiable for long-term use if I stop maintenance..,,Software curation/preservation (making sure the software has been packaged for long-term use/access)
G3,235,low,,Software curation/preservation (making sure the software has been packaged for long-term use/access)
G3,248,Il existe des bibliotheques de version,,Software curation/preservation (making sure the software has been packaged for long-term use/access)
G3,272,"Sorry, what does ""Give your knowledge"" mean?  Yes?",,Software curation/preservation (making sure the software has been packaged for long-term use/access)
G3,274,The Wilson-Devinney program has been developed and maintained over 5 decades and continues to be supported ...,,Software curation/preservation (making sure the software has been packaged for long-term use/access)
G3,277,minimal,,Software curation/preservation (making sure the software has been packaged for long-term use/access)
G3,288,"github, research data respositories (for long-term preservation of code)",,Software curation/preservation (making sure the software has been packaged for long-term use/access)
G3,297,25+ years of supporting the same software,,Software curation/preservation (making sure the software has been packaged for long-term use/access)
G3,310,https://github.com/,,Software curation/preservation (making sure the software has been packaged for long-term use/access)
G3,324,good,,Software curation/preservation (making sure the software has been packaged for long-term use/access)
G3,327,High,,Software curation/preservation (making sure the software has been packaged for long-term use/access)
G3,330,low,,Software curation/preservation (making sure the software has been packaged for long-term use/access)
G3,341,"We mainly use Git for our software, and try to publish most of it on public repositories",,Software curation/preservation (making sure the software has been packaged for long-term use/access)
G3,363,High ,,Software curation/preservation (making sure the software has been packaged for long-term use/access)
G3,406,Paying attention to working groups for software publication so that we can follow these practices in coming years,,Software curation/preservation (making sure the software has been packaged for long-term use/access)
G3,418,X,,Software curation/preservation (making sure the software has been packaged for long-term use/access)
G3,421,low,,Software curation/preservation (making sure the software has been packaged for long-term use/access)
G3,425,http://digitalhumanities.org/dhq/vol/17/1/000668/000668.html,,Software curation/preservation (making sure the software has been packaged for long-term use/access)
G3,433,"I don't quite know what you're looking for here. I know this is an important topic, and as concerns the software my group develops, we try to ensure it continues to run on modern operating systems and with modern versions of its dependencies.",,Software curation/preservation (making sure the software has been packaged for long-term use/access)
G3,445,not clear what you need,,Software curation/preservation (making sure the software has been packaged for long-term use/access)
G3,472,"Familiar with some of the issues, looking for commitment from institutional and government agencies",,Software curation/preservation (making sure the software has been packaged for long-term use/access)
G3,482,"we use atlassian products - bitbucket and jira, and use CI via Jenkins",,Software curation/preservation (making sure the software has been packaged for long-term use/access)
G3,483,Who wrote that survey ?,,Software curation/preservation (making sure the software has been packaged for long-term use/access)
G3,485,none,,Software curation/preservation (making sure the software has been packaged for long-term use/access)
G3,497,"very big problem. Not only do the system preserving it have to be very well thought-out to prevent ""decay"" at a bit level but there will be associated problems for proprietary software especially in conjunction with legal frameworks around what is acceptable to make copies of. File formats, languages, protocols etc. should preferably be open source and standards-based. ",,Software curation/preservation (making sure the software has been packaged for long-term use/access)
G3,500,"Versions are published from GitHub to Zenodo, acquiring a DOI for software citation",,Software curation/preservation (making sure the software has been packaged for long-term use/access)
G3,501,github,,Software curation/preservation (making sure the software has been packaged for long-term use/access)
G3,508,Familiar,,Software curation/preservation (making sure the software has been packaged for long-term use/access)
G3,510,none,,Software curation/preservation (making sure the software has been packaged for long-term use/access)
G3,523,"le code source du logiciel est libre et une bonne documentation est disponible, notamment sur les dependances et l’installation",,Software curation/preservation (making sure the software has been packaged for long-term use/access)
G3,535,limited,,Software curation/preservation (making sure the software has been packaged for long-term use/access)
G3,539,pretty familiar with this; at least with best practices.,,Software curation/preservation (making sure the software has been packaged for long-term use/access)
G3,541,We use github to share our code and documentation.,,Software curation/preservation (making sure the software has been packaged for long-term use/access)
G3,3,Bug fixing. Support. New features.,,Maintenance
G3,11,low,,Maintenance
G3,21,Advanced in the sense that we are maintaining our software for commercial delivery in a SaaS paradigm.,,Maintenance
G3,59,"know about, rarely do",,Maintenance
G3,91,"high, delegated to others on team",,Maintenance
G3,111,"La base, mais je comprends l'importance",,Maintenance
G3,112,"les updates des logiciels, et les updates des infrastructures associees",,Maintenance
G3,113,Facilite a modifier,,Maintenance
G3,126,"Keep the software up to date to serve current requirements, usage and platforms",,Maintenance
G3,139,Ça prend des fonds et de la redondance dans la connaissance technique du projet.,,Maintenance
G3,143,rien,,Maintenance
G3,152,Providing contact information. Having a programmer to fix things and add features.,,Maintenance
G3,161,"Bugs occur, and new features are always needed, so maintenance is essential",,Maintenance
G3,165,Rien,,Maintenance
G3,189,moderate,,Maintenance
G3,203,Limited (I can solve bug reports as they come in),,Maintenance
G3,206,none,,Maintenance
G3,231,I am currently maintaining my software in both R-CRAN and on GitHub,,Maintenance
G3,235,low,,Maintenance
G3,272,Yes,,Maintenance
G3,274,... and maintained,,Maintenance
G3,275,Les problemes et compatibilite du logiciel vont être resolus.,,Maintenance
G3,277,minimal,,Maintenance
G3,310,https://github.com/,,Maintenance
G3,324,good,,Maintenance
G3,327,High,,Maintenance
G3,330,medium,,Maintenance
G3,363,High ,,Maintenance
G3,418,X,,Maintenance
G3,421,low,,Maintenance
G3,425,http://digitalhumanities.org/dhq/vol/17/1/000668/000668.html,,Maintenance
G3,433,See above,,Maintenance
G3,445,not clear what you need,,Maintenance
G3,472,as above,,Maintenance
G3,475,Responding to issues and keeping it working when dependencies change,,Maintenance
G3,482,bitbucket,,Maintenance
G3,485,none,,Maintenance
G3,497,Ongoing regular checks on storage are required. Regular preservaion and distribution system updates and security maintenance needed along with organization of the physical systems. Maintaining understanding and procedures around relevant privacy issues is necessary too.,,Maintenance
G3,508,Familiar,,Maintenance
G3,510,none,,Maintenance
G3,523,"un logiciel perenne est maintenu par une communaute d’utilisateurs et est regulierement mis a jour, ne serait-ce que pour suivre l’evolution des dependances et du langage de programmation",,Maintenance
G3,535,moderate,,Maintenance
G3,539,painfully aware of this,,Maintenance
G3,541,"We have a process for the submission of new code, patches, updates, etc. We continually update the underlying software (Drupal) as updates and security patches are provided.",,Maintenance
G3,3,Less resource consuming. Efficient. Adaptable. Reproducibility.,,Sustainability
G3,11,low,,Sustainability
G3,12,Yes,,Sustainability
G3,21,Advanced in the sense that we are designing our software for commercial delivery in a SaaS paradigm for both institutional researchers as well as independent researchers..,,Sustainability
G3,59,"know about, rarely do",,Sustainability
G3,91,"Medium, delegated to others on team",,Sustainability
G3,111,"La base, mais je comprends l'importance",,Sustainability
G3,112,que le systeme et ses donnees durent dans le temps sans rupture technologique,,Sustainability
G3,113,Disponibilite et soutien a long terme,,Sustainability
G3,126,"Make sure the software perrenity in time, to have a long-term active developper or at least an expert to answer questions and requests",,Sustainability
G3,139,Ça prend des fonds.,,Sustainability
G3,143,rien,,Sustainability
G3,152,Getting ongoing support for documentation and programming,,Sustainability
G3,161,"Sustainability is always a problem due to funding. Ultimately sustainability takes work-hours to complete the various programming and documentation tasks, which takes funding to support",,Sustainability
G3,165,Rien,,Sustainability
G3,189,moderate,,Sustainability
G3,203,"Limited (I've observed patterns in my code that are difficult to work with, and have worked to refactor my own codes to be more readable and versatile)",,Sustainability
G3,206,none,,Sustainability
G3,231,I probably don't know enough about this but sustaining the maintenance is difficult with staff turnover,,Sustainability
G3,235,low,,Sustainability
G3,248,Les differentes versions entrainent des problemes de retrocompatibilite des fichiers/donnees.,,Sustainability
G3,272,Yes,,Sustainability
G3,274,... and sustained. ,,Sustainability
G3,277,minimal,,Sustainability
G3,310,https://github.com/,,Sustainability
G3,324,good,,Sustainability
G3,327,High,,Sustainability
G3,330,medium,,Sustainability
G3,363,Medium,,Sustainability
G3,406,Vital for RDM aspects like preservation and persistent DOI infrastructures,,Sustainability
G3,418,X,,Sustainability
G3,421,low,,Sustainability
G3,425,http://digitalhumanities.org/dhq/vol/17/1/000668/000668.html,,Sustainability
G3,433,See above,,Sustainability
G3,445,not clear what you need,,Sustainability
G3,472,as above,,Sustainability
G3,475,"Persistent URLs, persistent funding",,Sustainability
G3,485,none,,Sustainability
G3,497,"both from an ecological perspective (e.g. power consumption), financial perspective for hardware, service, personnel costs, and usage aspects. old software may require libraries, languages, OSes, etc. at various versions that are no always available or compatible in the future, especially when they're not free and open source",,Sustainability
G3,508,Familiar,,Sustainability
G3,510,none,,Sustainability
G3,520,"Use of open source, no propriatory tools, documentation, minimum number of dependencies.",,Sustainability
G3,522,Endings Project,,Sustainability
G3,523,"le logiciel est mis a jour regulierement, au minimum pour s’adapter a l’evolution de son environnement technologique (dependances, langage de programmation, securite…); une feuille de route (roadmap) des releases est disponible; mieux, certaines versions sont “long term support” (LTS)",,Sustainability
G3,535,limited,,Sustainability
G3,539,"know a good bit about best practices, and try to keep this in mind when we develop.",,Sustainability
G3,541,"We have a core group of code committers that we are continually trying to add members to.  We leverage software that has a very large community. Not all the modules we use are updated to the latest versions, so that can be a challenge.",,Sustainability
G11,3,None,,Institutional support
G11,20,Non,,Institutional support
G11,21,Librarians should be able to engage and advise researchers in this regard in a seamless manner.,,Institutional support
G11,22,no,,Institutional support
G11,59,I am the support,,Institutional support
G11,104,Non,,Institutional support
G11,143,non,,Institutional support
G11,161,Yes,,Institutional support
G11,165,Non,,Institutional support
G11,291,x,,Institutional support
G11,292,The software was just placed in the repository and indexed.,,Institutional support
G11,330,"Yes, helped explain process and get things set up",,Institutional support
G11,379,Yes,,Institutional support
G11,381,"none, we're on our own",,Institutional support
G11,405,through our Library Services and through IT Support,,Institutional support
G11,406,"Within our organization we have established software development processes, end-to-end, but need to evolve with software publication standards pertaining to research data outputs.",,Institutional support
G11,425,Institution provides server hosting for repositories.,,Institutional support
G11,452,director of data research centre at institution,,Institutional support
G11,475,Some help with documenting data resources published in a institutional data repository,,Institutional support
G11,501,great support ,,Institutional support
G11,517,no,,Institutional support
G11,3,None,,Research discipline/community support
G11,20,Non,,Research discipline/community support
G11,22,no,,Research discipline/community support
G11,104,Oui,,Research discipline/community support
G11,143,non,,Research discipline/community support
G11,161,Yes,,Research discipline/community support
G11,165,Non,,Research discipline/community support
G11,203,"Minimal -- I have a research colleague who is knowledable about curation, so he has advised me on good practice.",,Research discipline/community support
G11,235,iReceptor Team/AIRR Community,,Research discipline/community support
G11,330,Technical support,,Research discipline/community support
G11,381,"none, we're on our own",,Research discipline/community support
G11,425,The TEI community helps to maintain the TEI software and Guidelines.,,Research discipline/community support
G11,483,PyOpenSci,,Research discipline/community support
G11,517,no,,Research discipline/community support
G11,3,None,,"Repository provider support (e.g., Zenodo, Software Heritage)"
G11,20,Non,,"Repository provider support (e.g., Zenodo, Software Heritage)"
G11,22,no,,"Repository provider support (e.g., Zenodo, Software Heritage)"
G11,91,Yes,,"Repository provider support (e.g., Zenodo, Software Heritage)"
G11,104,Non,,"Repository provider support (e.g., Zenodo, Software Heritage)"
G11,143,non,,"Repository provider support (e.g., Zenodo, Software Heritage)"
G11,165,Non,,"Repository provider support (e.g., Zenodo, Software Heritage)"
G11,191,GitHub provides no-cost support for professional accounts for researchers,,"Repository provider support (e.g., Zenodo, Software Heritage)"
G11,201,A bunch of advice from a colleague who works as a software editor at a learned society gave a lot of useful suggestions for preserving code in Zenodo.,,"Repository provider support (e.g., Zenodo, Software Heritage)"
G11,381,"none, we're on our own",,"Repository provider support (e.g., Zenodo, Software Heritage)"
G11,406,Exploring these options,,"Repository provider support (e.g., Zenodo, Software Heritage)"
G11,425,Publications and presentations are up on Zenodo.,,"Repository provider support (e.g., Zenodo, Software Heritage)"
G11,482,online docs,,"Repository provider support (e.g., Zenodo, Software Heritage)"
G11,517,no,,"Repository provider support (e.g., Zenodo, Software Heritage)"
G11,3,None,,Other
G11,21,Platforms should be able to guide researchers to accurately curate their research data.,,Other
G11,73,Code Ocean,,Other
G11,165,Non,,Other
G11,274,n.a.,,Other
G11,297,"NIH, NSF",,Other
G11,381,"none, we're on our own",,Other
G11,469,Alliance support,,Other
G11,483,FRDR,,Other
G11,508,Following open source licensing guidelines and publishing best practices,,Other
E18,21,This is the obvious advantage of SaaS solutions. They are simply there and deliver flexible subscriptions that can be tailored to accommodate different size research projects and institutions.,,
E18,22,"Often documentation is lacking or support is unavailable or no longer run or is secure (e.g., no longer maintained and no resources available to bring up to date)",,
E18,67,"mostly because not findable, doesn't compile, or licencing issues.",,
E18,111,Voir question precedente relative a la version 3 d'Atlascine,,
E18,112,"les delais sont parfois trop long, par manque de personnel",,
